corner,kind,x,y
LR LS,raw,-0.498046875,0.0
LR LS,raw,-0.494140625,0.0
LR LS,raw,-0.490234375,0.0
LR LS,raw,-0.486328125,0.0
LR LS,raw,-0.482421875,0.0
LR LS,raw,-0.478515625,0.0
LR LS,raw,-0.474609375,0.0
LR LS,raw,-0.470703125,0.0
LR LS,raw,-0.466796875,0.0
LR LS,raw,-0.462890625,0.0
LR LS,raw,-0.458984375,0.0
LR LS,raw,-0.455078125,0.0
LR LS,raw,-0.451171875,0.0
LR LS,raw,-0.447265625,0.0
LR LS,raw,-0.443359375,0.0
LR LS,raw,-0.439453125,0.0
LR LS,raw,-0.435546875,0.0
LR LS,raw,-0.431640625,0.0
LR LS,raw,-0.427734375,0.0
LR LS,raw,-0.423828125,0.0
LR LS,raw,-0.419921875,0.0
LR LS,raw,-0.416015625,0.0
LR LS,raw,-0.412109375,0.0
LR LS,raw,-0.408203125,0.0
LR LS,raw,-0.404296875,0.0
LR LS,raw,-0.400390625,0.0
LR LS,raw,-0.396484375,0.0
LR LS,raw,-0.392578125,0.0
LR LS,raw,-0.388671875,0.0
LR LS,raw,-0.384765625,0.0
LR LS,raw,-0.380859375,0.0
LR LS,raw,-0.376953125,0.0
LR LS,raw,-0.373046875,0.0
LR LS,raw,-0.369140625,0.0
LR LS,raw,-0.365234375,0.0
LR LS,raw,-0.361328125,0.0
LR LS,raw,-0.357421875,0.0
LR LS,raw,-0.353515625,0.0
LR LS,raw,-0.349609375,0.0
LR LS,raw,-0.345703125,0.0
LR LS,raw,-0.341796875,0.0
LR LS,raw,-0.337890625,0.0
LR LS,raw,-0.333984375,0.0
LR LS,raw,-0.330078125,0.0
LR LS,raw,-0.326171875,0.0
LR LS,raw,-0.322265625,0.0
LR LS,raw,-0.318359375,0.0
LR LS,raw,-0.314453125,0.0
LR LS,raw,-0.310546875,0.0
LR LS,raw,-0.306640625,0.0
LR LS,raw,-0.302734375,0.0
LR LS,raw,-0.298828125,0.0
LR LS,raw,-0.294921875,0.0
LR LS,raw,-0.291015625,0.0
LR LS,raw,-0.287109375,0.0
LR LS,raw,-0.283203125,0.0
LR LS,raw,-0.279296875,0.0
LR LS,raw,-0.275390625,0.0
LR LS,raw,-0.271484375,0.0
LR LS,raw,-0.267578125,0.0
LR LS,raw,-0.263671875,0.0
LR LS,raw,-0.259765625,0.0
LR LS,raw,-0.255859375,0.0
LR LS,raw,-0.251953125,0.0
LR LS,raw,-0.248046875,0.0
LR LS,raw,-0.244140625,0.0
LR LS,raw,-0.240234375,0.0
LR LS,raw,-0.236328125,0.0
LR LS,raw,-0.232421875,0.0
LR LS,raw,-0.228515625,0.0
LR LS,raw,-0.224609375,0.0
LR LS,raw,-0.220703125,0.0
LR LS,raw,-0.216796875,0.0
LR LS,raw,-0.212890625,0.0
LR LS,raw,-0.208984375,0.0
LR LS,raw,-0.205078125,0.0
LR LS,raw,-0.201171875,0.0
LR LS,raw,-0.197265625,0.0
LR LS,raw,-0.193359375,0.0
LR LS,raw,-0.189453125,0.0
LR LS,raw,-0.185546875,0.0
LR LS,raw,-0.181640625,0.0
LR LS,raw,-0.177734375,0.0
LR LS,raw,-0.173828125,0.0
LR LS,raw,-0.169921875,0.0
LR LS,raw,-0.166015625,0.0
LR LS,raw,-0.162109375,0.0
LR LS,raw,-0.158203125,0.0
LR LS,raw,-0.154296875,0.0
LR LS,raw,-0.150390625,0.0
LR LS,raw,-0.146484375,0.0
LR LS,raw,-0.142578125,0.0
LR LS,raw,-0.138671875,0.0
LR LS,raw,-0.134765625,0.0
LR LS,raw,-0.130859375,0.0
LR LS,raw,-0.126953125,0.0
LR LS,raw,-0.123046875,0.0
LR LS,raw,-0.119140625,0.0
LR LS,raw,-0.115234375,0.0
LR LS,raw,-0.111328125,0.0
LR LS,raw,-0.107421875,0.0
LR LS,raw,-0.103515625,0.0
LR LS,raw,-0.099609375,0.0
LR LS,raw,-0.095703125,0.0
LR LS,raw,-0.091796875,0.0
LR LS,raw,-0.087890625,0.0
LR LS,raw,-0.083984375,0.0
LR LS,raw,-0.080078125,0.0
LR LS,raw,-0.076171875,1.40625
LR LS,raw,-0.072265625,0.0
LR LS,raw,-0.068359375,1.171875
LR LS,raw,-0.064453125,1.181640625
LR LS,raw,-0.060546875,1.1100260416666663
LR LS,raw,-0.056640625,1.03515625
LR LS,raw,-0.052734375,1.0482486263736264
LR LS,raw,-0.048828125,0.9573117946306428
LR LS,raw,-0.044921875,0.8694897342995169
LR LS,raw,-0.041015625,0.8290563357632932
LR LS,raw,-0.037109375,0.7000263789315447
LR LS,raw,-0.033203125,0.5210433467741935
LR LS,raw,-0.029296875,0.4979053442028984
LR LS,raw,-0.025390625,0.4695638020833333
LR LS,raw,-0.021484375,0.3688292572463768
LR LS,raw,-0.017578125,0.1775089017991004
LR LS,raw,-0.013671875,0.1885510598051409
LR LS,raw,-0.009765625,0.1669886363636363
LR LS,raw,-0.005859375,0.1811775450039877
LR LS,raw,-0.001953125,0.2466229924207377
