series,x,y
KDE,-0.5,0.0
KDE,0.0,0.0
KDE,-0.498046875,0.0
KDE,-0.494140625,0.0
KDE,-0.490234375,0.0
KDE,-0.486328125,0.0
KDE,-0.482421875,0.0
KDE,-0.478515625,0.0
KDE,-0.474609375,0.0
KDE,-0.470703125,0.0
KDE,-0.466796875,0.0
KDE,-0.462890625,0.0
KDE,-0.458984375,0.0
KDE,-0.455078125,0.0
KDE,-0.451171875,0.0
KDE,-0.447265625,0.0
KDE,-0.443359375,0.0
KDE,-0.439453125,0.0
KDE,-0.435546875,0.0
KDE,-0.431640625,0.0
KDE,-0.427734375,0.0
KDE,-0.423828125,0.0
KDE,-0.419921875,0.0
KDE,-0.416015625,0.0
KDE,-0.412109375,0.0
KDE,-0.408203125,0.0
KDE,-0.404296875,0.0
KDE,-0.400390625,0.0
KDE,-0.396484375,0.0
KDE,-0.392578125,0.0
KDE,-0.388671875,0.0
KDE,-0.384765625,0.0
KDE,-0.380859375,0.0
KDE,-0.376953125,0.0
KDE,-0.373046875,0.0
KDE,-0.369140625,0.0
KDE,-0.365234375,0.0
KDE,-0.361328125,0.0
KDE,-0.357421875,0.0
KDE,-0.353515625,0.0
KDE,-0.349609375,0.0
KDE,-0.345703125,0.0
KDE,-0.341796875,0.0
KDE,-0.337890625,0.0
KDE,-0.333984375,0.0
KDE,-0.330078125,0.0
KDE,-0.326171875,0.0
KDE,-0.322265625,0.0
KDE,-0.318359375,0.0
KDE,-0.314453125,0.0
KDE,-0.310546875,0.0
KDE,-0.306640625,0.0
KDE,-0.302734375,0.0
KDE,-0.298828125,0.0
KDE,-0.294921875,0.0
KDE,-0.291015625,0.0
KDE,-0.287109375,0.0
KDE,-0.283203125,0.0
KDE,-0.279296875,0.0
KDE,-0.275390625,0.0
KDE,-0.271484375,0.0
KDE,-0.267578125,0.0
KDE,-0.263671875,0.0
KDE,-0.259765625,0.0
KDE,-0.255859375,0.0
KDE,-0.251953125,0.0
KDE,-0.248046875,0.0
KDE,-0.244140625,0.0
KDE,-0.240234375,0.0
KDE,-0.236328125,0.0
KDE,-0.232421875,0.0
KDE,-0.228515625,0.0
KDE,-0.224609375,0.0
KDE,-0.220703125,0.0
KDE,-0.216796875,0.0
KDE,-0.212890625,0.0
KDE,-0.208984375,0.0
KDE,-0.205078125,0.0
KDE,-0.201171875,0.0
KDE,-0.197265625,0.0
KDE,-0.193359375,0.0
KDE,-0.189453125,0.0
KDE,-0.185546875,0.0
KDE,-0.181640625,0.0
KDE,-0.177734375,0.0
KDE,-0.173828125,0.0
KDE,-0.169921875,0.0
KDE,-0.166015625,0.0
KDE,-0.162109375,0.0
KDE,-0.158203125,0.0
KDE,-0.154296875,0.0
KDE,-0.150390625,0.0
KDE,-0.146484375,0.0
KDE,-0.142578125,0.0
KDE,-0.138671875,0.0
KDE,-0.134765625,0.0
KDE,-0.130859375,0.0
KDE,-0.126953125,0.0
KDE,-0.123046875,0.0
KDE,-0.119140625,0.0
KDE,-0.115234375,0.0
KDE,-0.111328125,0.0
KDE,-0.107421875,0.0
KDE,-0.103515625,0.0
KDE,-0.099609375,0.0
KDE,-0.095703125,0.0
KDE,-0.091796875,6.058440034202427e-10
KDE,-0.087890625,1.1262189957721672e-08
KDE,-0.083984375,1.1072960420267528e-07
KDE,-0.080078125,6.503492630945755e-07
KDE,-0.076171875,2.424348023210497e-06
KDE,-0.072265625,6.246528769729933e-06
KDE,-0.068359375,1.265114620282667e-05
KDE,-0.064453125,2.4143754281405475e-05
KDE,-0.060546875,5.037606208465502e-05
KDE,-0.056640625,0.0001099502491138
KDE,-0.052734375,0.0002178286232087
KDE,-0.048828125,0.0003684761699799
KDE,-0.044921875,0.0005273690320836
KDE,-0.041015625,0.0006298550942891
KDE,-0.037109375,0.0006215986062063
KDE,-0.033203125,0.0005172885736117
KDE,-0.029296875,0.0003988287672543
KDE,-0.025390625,0.0003578498720763
KDE,-0.021484375,0.0004642490305381
KDE,-0.017578125,0.0008164432611007
KDE,-0.013671875,0.0015691233486654
KDE,-0.009765625,0.0028330083097291
KDE,-0.005859375,0.0045397349212368
KDE,-0.001953125,0.0064735011574066
KDE,0.001953125,0.0084277437930691
KDE,0.005859375,0.0103235653628836
KDE,0.009765625,0.0122964096633394
KDE,0.013671875,0.0146522116919832
KDE,0.017578125,0.0176898339084552
KDE,0.021484375,0.0215717622425197
KDE,0.025390625,0.0264486972417249
KDE,0.029296875,0.0327397148018828
KDE,0.033203125,0.0415632392857957
KDE,0.037109375,0.0561359207358644
KDE,0.041015625,0.0870635240597742
KDE,0.044921875,0.1667401248718776
KDE,0.048828125,0.3903489829895204
KDE,0.052734375,1.0071485975853325
KDE,0.056640625,2.3367577343752854
KDE,0.060546875,4.170346303295165
KDE,0.064453125,5.631609236361664
KDE,0.068359375,6.202455189053567
KDE,0.072265625,6.148656029134924
KDE,0.076171875,5.886188050958683
KDE,0.080078125,5.602033712326337
KDE,0.083984375,5.336519803600255
KDE,0.087890625,5.092344993404203
KDE,0.091796875,4.866887919612447
KDE,0.095703125,4.658121694859983
KDE,0.099609375,4.465490217882813
KDE,0.103515625,4.288324527722362
KDE,0.107421875,4.12354525672357
KDE,0.111328125,3.9682672331726647
KDE,0.115234375,3.822790299629128
KDE,0.119140625,3.687220331723012
KDE,0.123046875,3.5600113353933738
KDE,0.126953125,3.4403085382368803
KDE,0.130859375,3.327294787069853
KDE,0.134765625,3.2194027082733956
KDE,0.138671875,3.116405670536483
KDE,0.142578125,3.018799846391672
KDE,0.146484375,2.925902678274454
KDE,0.150390625,2.837476679137281
KDE,0.154296875,2.753921630835393
KDE,0.158203125,2.674435483228334
KDE,0.162109375,2.5985955359185127
KDE,0.166015625,2.5268701957222235
KDE,0.169921875,2.4580848755264637
KDE,0.173828125,2.39063660499012
KDE,0.177734375,2.3247342343293926
KDE,0.181640625,2.2612628718228094
KDE,0.185546875,2.2005161728498184
KDE,0.189453125,2.1425531806957614
KDE,0.193359375,2.087509495309554
KDE,0.197265625,2.03512126348447
KDE,0.201171875,1.9847079276777784
KDE,0.205078125,1.9357827832572632
KDE,0.208984375,1.8881333805253848
KDE,0.212890625,1.841636782291339
KDE,0.216796875,1.7966986563434215
KDE,0.220703125,1.7539800838381008
KDE,0.224609375,1.7135584630479743
KDE,0.228515625,1.674323440035786
KDE,0.232421875,1.6352542080712251
KDE,0.236328125,1.5966789958712408
KDE,0.240234375,1.559334227149792
KDE,0.244140625,1.524003705133121
KDE,0.248046875,1.4911585754287802
KDE,0.251953125,1.4595457635693592
KDE,0.255859375,1.4275615814334035
