series,x,y
KDE,-0.5,0.0
KDE,0.0,0.0
KDE,-0.498046875,0.0
KDE,-0.494140625,0.0
KDE,-0.490234375,0.0
KDE,-0.486328125,0.0
KDE,-0.482421875,0.0
KDE,-0.478515625,0.0
KDE,-0.474609375,0.0
KDE,-0.470703125,0.0
KDE,-0.466796875,0.0
KDE,-0.462890625,0.0
KDE,-0.458984375,0.0
KDE,-0.455078125,0.0
KDE,-0.451171875,0.0
KDE,-0.447265625,0.0
KDE,-0.443359375,0.0
KDE,-0.439453125,0.0
KDE,-0.435546875,0.0
KDE,-0.431640625,0.0
KDE,-0.427734375,0.0
KDE,-0.423828125,0.0
KDE,-0.419921875,0.0
KDE,-0.416015625,0.0
KDE,-0.412109375,0.0
KDE,-0.408203125,0.0
KDE,-0.404296875,0.0
KDE,-0.400390625,0.0
KDE,-0.396484375,0.0
KDE,-0.392578125,0.0
KDE,-0.388671875,0.0
KDE,-0.384765625,0.0
KDE,-0.380859375,0.0
KDE,-0.376953125,0.0
KDE,-0.373046875,0.0
KDE,-0.369140625,0.0
KDE,-0.365234375,0.0
KDE,-0.361328125,0.0
KDE,-0.357421875,0.0
KDE,-0.353515625,0.0
KDE,-0.349609375,0.0
KDE,-0.345703125,0.0
KDE,-0.341796875,0.0
KDE,-0.337890625,0.0
KDE,-0.333984375,0.0
KDE,-0.330078125,0.0
KDE,-0.326171875,0.0
KDE,-0.322265625,0.0
KDE,-0.318359375,0.0
KDE,-0.314453125,0.0
KDE,-0.310546875,0.0
KDE,-0.306640625,0.0
KDE,-0.302734375,0.0
KDE,-0.298828125,0.0
KDE,-0.294921875,0.0
KDE,-0.291015625,0.0
KDE,-0.287109375,0.0
KDE,-0.283203125,0.0
KDE,-0.279296875,0.0
KDE,-0.275390625,0.0
KDE,-0.271484375,0.0
KDE,-0.267578125,0.0
KDE,-0.263671875,0.0
KDE,-0.259765625,0.0
KDE,-0.255859375,0.0
KDE,-0.251953125,0.0
KDE,-0.248046875,0.0
KDE,-0.244140625,0.0
KDE,-0.240234375,0.0
KDE,-0.236328125,0.0
KDE,-0.232421875,0.0
KDE,-0.228515625,0.0
KDE,-0.224609375,0.0
KDE,-0.220703125,0.0
KDE,-0.216796875,0.0
KDE,-0.212890625,0.0
KDE,-0.208984375,0.0
KDE,-0.205078125,0.0
KDE,-0.201171875,0.0
KDE,-0.197265625,0.0
KDE,-0.193359375,0.0
KDE,-0.189453125,0.0
KDE,-0.185546875,0.0
KDE,-0.181640625,0.0
KDE,-0.177734375,0.0
KDE,-0.173828125,0.0
KDE,-0.169921875,0.0
KDE,-0.166015625,0.0
KDE,-0.162109375,0.0
KDE,-0.158203125,0.0
KDE,-0.154296875,0.0
KDE,-0.150390625,0.0
KDE,-0.146484375,0.0
KDE,-0.142578125,0.0
KDE,-0.138671875,0.0
KDE,-0.134765625,0.0
KDE,-0.130859375,0.0
KDE,-0.126953125,0.0
KDE,-0.123046875,0.0
KDE,-0.119140625,0.0
KDE,-0.115234375,0.0
KDE,-0.111328125,0.0
KDE,-0.107421875,0.0
KDE,-0.103515625,0.0
KDE,-0.099609375,0.0
KDE,-0.095703125,0.0
KDE,-0.091796875,1.183320098639012e-12
KDE,-0.087890625,2.4363681773042213e-11
KDE,-0.083984375,2.6263515278552186e-10
KDE,-0.080078125,1.749156295584637e-09
KDE,-0.076171875,7.754581909398765e-09
KDE,-0.072265625,2.469033224114194e-08
KDE,-0.068359375,6.160082155246768e-08
KDE,-0.064453125,1.334677460819041e-07
KDE,-0.060546875,2.790180790967236e-07
KDE,-0.056640625,5.92163617074736e-07
KDE,-0.052734375,1.2323735149011921e-06
KDE,-0.048828125,2.377530092818521e-06
KDE,-0.044921875,4.12727363552344e-06
KDE,-0.041015625,6.387536276791062e-06
KDE,-0.037109375,8.831845881164862e-06
KDE,-0.033203125,1.1056293234531062e-05
KDE,-0.029296875,1.2845631836610957e-05
KDE,-0.025390625,1.4323558558796619e-05
KDE,-0.021484375,1.5929262583332305e-05
KDE,-0.017578125,1.8430680308543398e-05
KDE,-0.013671875,2.3090112274597315e-05
KDE,-0.009765625,3.168825113348768e-05
KDE,-0.005859375,4.6088517865607286e-05
KDE,-0.001953125,6.759930864564787e-05
KDE,0.001953125,9.670406588529314e-05
KDE,0.005859375,0.0001333286769646593
KDE,0.009765625,0.00017750947421301552
KDE,0.013671875,0.00023014488052279137
KDE,0.017578125,0.0002933145947958426
KDE,0.021484375,0.00036999941063592016
KDE,0.025390625,0.0004637918300257205
KDE,0.029296875,0.0005793972287460673
KDE,0.033203125,0.0007245239915164058
KDE,0.037109375,0.0009153476672829664
KDE,0.041015625,0.0011950414171327732
KDE,0.044921875,0.0016907646679914917
KDE,0.048828125,0.0027788578641669524
KDE,0.052734375,0.005508416901737451
KDE,0.056640625,0.012039655220903497
KDE,0.060546875,0.024749176068251763
KDE,0.064453125,0.04389412250753575
KDE,0.068359375,0.06700813569265805
KDE,0.072265625,0.09113203237645558
KDE,0.076171875,0.11463820360793543
KDE,0.080078125,0.13707672513059158
KDE,0.083984375,0.15844164770531566
KDE,0.087890625,0.1788110583962128
KDE,0.091796875,0.19826319526060154
KDE,0.095703125,0.21686721750544474
KDE,0.099609375,0.2346872393057466
KDE,0.103515625,0.2517849820741139
KDE,0.107421875,0.2682148460768522
KDE,0.111328125,0.28401958178382686
KDE,0.115234375,0.2992368900614864
KDE,0.119140625,0.3139052642153977
KDE,0.123046875,0.32806038474605903
KDE,0.126953125,0.3417332430340082
KDE,0.130859375,0.35495156489449015
KDE,0.134765625,0.3677384187417102
KDE,0.138671875,0.38011336898211173
KDE,0.142578125,0.39209650648364147
KDE,0.146484375,0.40370755807143455
KDE,0.150390625,0.4149644535613712
KDE,0.154296875,0.42588543975969034
KDE,0.158203125,0.4364879777717832
KDE,0.162109375,0.4467871365494187
KDE,0.166015625,0.4567980743170555
KDE,0.169921875,0.46653457000459203
KDE,0.173828125,0.4760049774827661
KDE,0.177734375,0.4852149276600441
KDE,0.181640625,0.49417218813860664
KDE,0.185546875,0.5028868288537764
KDE,0.189453125,0.5113696086235199
KDE,0.193359375,0.5196316664383395
KDE,0.197265625,0.5276838907875248
KDE,0.201171875,0.5355353255597505
KDE,0.205078125,0.5431927347749722
KDE,0.208984375,0.5506615168815369
KDE,0.212890625,0.5579464152580975
KDE,0.216796875,0.5650527255059861
KDE,0.220703125,0.5719878267752028
KDE,0.224609375,0.5787605405962054
KDE,0.228515625,0.5853776709550144
KDE,0.232421875,0.5918418593053196
KDE,0.236328125,0.5981543943739074
KDE,0.240234375,0.604318644341371
